Methylation,RNA-seq,Proteomics,Proteomics_Detection,RG1_All,RG2_Changes,RG3_Protein,RG4_Detection
Hypermethylation,DOWN,DOWN,DOWN,Hypermethylation + DOWN + DOWN,MDS,MDS,MDS
Hypomethylation,DOWN,DOWN,DOWN,Hypomethylation + DOWN + DOWN,TPDS,TPDS,TPDS
No Change,DOWN,DOWN,DOWN,No Change + DOWN + DOWN,TPDS,TPDS,TPDS
Hypermethylation,No Change,DOWN,DOWN,Hypermethylation + No Change + DOWN,TMDS,TMDS,TMDS
Hypomethylation,No Change,DOWN,DOWN,Hypomethylation + No Change + DOWN,TMDS,TMDS,TMDS
No Change,No Change,DOWN,DOWN,No Change + No Change + DOWN,TMDS,TMDS,TMDS
Hypermethylation,UP,DOWN,DOWN,Hypermethylation + UP + DOWN,TPDE+TMDS,TMDS,TPDE+TMDS
Hypomethylation,UP,DOWN,DOWN,Hypomethylation + UP + DOWN,MDE+TMDS,TMDS,MDE+TMDS
No Change,UP,DOWN,DOWN,No Change + UP + DOWN,TPDE+TMDS,TMDS,TPDE+TMDS
No Change,No Change,No Change,No Change,No Change + No Change + No Change,None,None,None
Hypermethylation,DOWN,No Change,Not detected,Hypermethylation + DOWN + Not detected,MDS+TMDE,MDS,MDS
Hypomethylation,DOWN,No Change,Not detected,Hypomethylation + DOWN + Not detected,TPDS+TMDE,TPDS,TPDS
No Change,DOWN,No Change,Not detected,No Change + DOWN + Not detected,TPDS+TMDE,TPDS,TPDS
Hypermethylation,No Change,No Change,Not detected,Hypermethylation + No Change + Not detected,None,None,None
Hypomethylation,No Change,No Change,Not detected,Hypomethylation + No Change + Not detected,None,None,None
No Change,No Change,No Change,Not detected,No Change + No Change + Not detected,None,None,None
Hypermethylation,UP,No Change,Not detected,Hypermethylation + UP + Not detected,TPDE+TMDS,TPDE,TPDE
Hypomethylation,UP,No Change,Not detected,Hypomethylation + UP + Not detected,MDE+TMDS,MDE,MDE
No Change,UP,No Change,Not detected,No Change + UP + Not detected,TPDE+TMDS,TPDE,TPDE
Hypermethylation,DOWN,No Change,Not significant,Hypermethylation + DOWN + Not significant,MDS+TMDE,None,MDS+TMDE
Hypomethylation,DOWN,No Change,Not significant,Hypomethylation + DOWN + Not significant,TPDS+TMDE,None,TPDS+TMDE
No Change,DOWN,No Change,Not significant,No Change + DOWN + Not significant,TPDS+TMDE,None,TPDS+TMDE
Hypermethylation,No Change,No Change,Not significant,Hypermethylation + No Change + Not significant,None,None,None
Hypomethylation,No Change,No Change,Not significant,Hypomethylation + No Change + Not significant,None,None,None
No Change,No Change,No Change,Not significant,No Change + No Change + Not significant,TPDS+TMDE,None,None
Hypermethylation,UP,No Change,Not significant,Hypermethylation + UP + Not significant,TPDE+TMDS,None,TPDE+TMDS
Hypomethylation,UP,No Change,Not significant,Hypomethylation + UP + Not significant,MDE+TMDS,None,MDE+TMDS
No Change,UP,No Change,Not significant,No Change + UP + Not significant,TPDE+TMDS,None,TPDE+TMDS
Hypermethylation,DOWN,No Change,Significant negative,Hypermethylation + DOWN + Significant negative,MDS+TMDE,MDS,MDS
Hypomethylation,DOWN,No Change,Significant negative,Hypomethylation + DOWN + Significant negative,TPDS+TMDE,TPDS,TPDS
No Change,DOWN,No Change,Significant negative,No Change + DOWN + Significant negative,TPDS+TMDE,TPDS,TPDS
Hypermethylation,No Change,No Change,Significant negative,Hypermethylation + No Change + Significant negative,None,None,None
Hypomethylation,No Change,No Change,Significant negative,Hypomethylation + No Change + Significant negative,None,None,None
Hypermethylation,UP,No Change,Significant negative,Hypermethylation + UP + Significant negative,TPDE+TMDS,TMDS,TPDE+TMDS
Hypomethylation,UP,No Change,Significant negative,Hypomethylation + UP + Significant negative,MDE+TMDS,TMDS,MDE+TMDS
No Change,UP,No Change,Significant negative,No Change + UP + Significant negative,TPDE+TMDS,TMDS,TPDE+TMDS
