"ensembl_gene_id","Protein_Tumor_C3L.00011_CPT0001340003","Protein_Normal_C3L.00011_CPT0001350001","Protein_Tumor_C3L.00096_CPT0001180009","Protein_Normal_C3L.00096_CPT0001190001","Protein_Normal_C3L.01281_CPT0079510001","Protein_Tumor_C3L.01281_CPT0079480003","Protein_Normal_C3L.01287_CPT0079430001","Protein_Tumor_C3L.01287_CPT0079410003","Protein_Tumor_C3N.00149_CPT0084560003","Protein_Normal_C3N.00149_CPT0084590001","Protein_Tumor_C3N.00150_CPT0066480003","Protein_Normal_C3N.00150_CPT0066520001","Protein_Normal_C3N.00194_CPT0014130001","Protein_Tumor_C3N.00194_CPT0014160003","Protein_Normal_C3N.00390_CPT0017450001","Protein_Tumor_C3N.00390_CPT0017410003","Protein_Normal_C3N.00491_CPT0012640003","Protein_Tumor_C3N.00491_CPT0012670003","Protein_Normal_C3N.00577_CPT0069190001","Protein_Tumor_C3N.00577_CPT0069160003","Protein_Normal_C3N.01200_CPT0075170001","Protein_Tumor_C3N.01200_CPT0075130003","Protein_Normal_C3N.01220_CPT0076350001","Protein_Tumor_C3N.01220_CPT0076330003"
"ENSG00000001626",18.6755981783535,19.1081900233341,18.9611419740966,18.8912253463596,19.0473732508769,18.8371387379169,17.7186989294518,18.5682095215153,19.6480393876649,18.8538984195552,19.2813637952176,19.3047498069558,17.5639596226142,19.1901749997097,18.4157253669868,19.2818487975361,18.9165854308824,19.2174849657774,18.7742108690298,19.0427061866222,18.9151972188463,19.0205014640432,19.2286396737547,19.3944742669619
"ENSG00000001629",20.4785553624717,21.0845341587895,20.300894878335,20.5480799554187,20.5523675317686,20.6583822993052,20.9336707795343,20.6093031364598,20.3949740425383,20.4893322453895,20.2831664434058,20.7740980494659,20.877012342757,20.3247841965487,20.7502912947381,20.5395978681319,20.7386693791355,20.4478105875899,20.6174522499655,20.1589281688958,20.4696641892675,20.3664167723878,20.7314844935041,20.566030984153
"ENSG00000001630",20.571293999468,20.9891931993733,20.1517929912089,21.490320956686,21.1423759771297,20.4289323891949,20.9624561732051,20.7679670466308,20.6078777339943,21.064659637975,20.3863360767762,21.1886443162503,20.92344956268,20.889054437335,21.0464532619485,20.3827031900943,21.2747299773717,20.2606021043051,21.4866735020504,20.2185148454946,21.0472578696738,20.4379269261966,20.6422516421687,20.3434019919832
"ENSG00000002746",18.57097248991,19.9417103016371,18.6870155720971,18.8669278409607,18.4369477692609,18.321050465552,19.4989162501269,18.1064486781077,18.7135575478029,18.5168182371299,18.6526161865779,19.5595541911712,19.9323579617048,18.5544024854291,19.6687552438971,18.3482645328234,18.4054804567058,17.7229112951099,18.3400409443731,18.1967305593163,18.9420247965604,18.4426099980555,20.0291767286777,18.2814892970512
"ENSG00000002822",21.4625286596685,21.2895338845085,21.3443268636137,21.2005323440137,21.4293924871774,21.4005014876095,21.2140691914143,21.4402565024547,21.3657459165543,21.4034902581658,21.3427499475707,21.170000171604,21.2757346323195,21.3005793257309,21.1979878882806,21.4840319047952,21.386320750212,21.3542687829449,21.2862635895062,21.3286158682727,21.3116390855249,21.4713463607632,21.181133430766,21.3904233462818
"ENSG00000002834",25.6107694708011,25.3651684397038,25.6602425005674,25.3975736851006,25.7148077608245,25.6620154088415,25.423879047952,25.4265272863282,25.5356695252814,25.3513599376079,26.1937680141548,25.3041531355246,25.5258080829657,25.2885011964612,25.5334720639593,25.6202476702146,25.2022855581092,25.8749267475016,25.1843754417555,25.4052921370157,25.4360919488616,25.6729776960401,25.4070016108578,25.4101987400452
"ENSG00000003056",23.7539265524439,23.5830387065098,23.6873004254673,23.6489481494811,23.3539549380727,23.770757752782,23.5183212388383,23.7479271395454,23.4800609959654,23.4802894489352,23.4073006532672,23.4741604634071,23.5894419806522,23.5735385353783,23.5064834182933,23.3941423352962,23.4068496434071,23.4901516610323,23.3505932932878,23.5482226183132,23.3531060104483,23.633162866615,23.4998588082011,23.4615098904784
"ENSG00000003096",19.7821931494058,19.8487262427785,19.5809414096099,20.2164090879759,19.8123755706046,19.6901240667467,19.8230097047965,19.5853536925517,19.6379573275189,20.541728932417,19.9087151176035,20.171221281333,19.9998113370998,19.9551068149288,20.1319601565844,19.7961655088211,19.9567569467073,19.6361340196972,20.3568668952067,19.6400176596962,20.3392020155681,19.7699636009065,20.1404560746962,19.7368112179383
"ENSG00000003137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000003147",19.4625090768767,19.5554492556906,19.5213961140784,20.1385839348428,19.9884009917495,19.3709563729484,19.4201809663457,19.6626906443387,19.7401700749406,19.7054495895737,19.8154243737054,19.5622828314956,19.4882565260596,19.7916749557658,19.6555225905612,19.5438207665438,19.6316586005778,19.4708228759708,19.9311911694098,19.1204788906225,19.5701091050824,19.384304684934,19.9095738831689,19.3761688228088
"ENSG00000003400",21.0176746535674,20.8606145711176,20.8410875037867,20.70264519413,21.0221815439915,21.1123035395875,20.8793978410996,21.2684836633534,20.8541877555931,20.9704943357882,20.877213365519,20.7806945260259,20.7803862184848,21.1542277025377,21.007558106407,21.1913005680835,20.9391941891601,21.3778660900798,20.8536875483768,20.9114437121255,21.0645016927397,21.0342317072454,20.9799391581291,20.7952925243023
"ENSG00000003402",18.6766948593866,18.5955353162532,18.8015007013487,18.6740027868671,18.6448213642286,18.8939693112002,18.5621455931841,18.7605253635455,18.8665363204911,18.412949367649,18.7810695118553,18.6301890149219,18.7931384380682,18.8202539697999,18.4876582630852,18.9034325050002,18.731054504786,18.864942440104,18.6895929711743,18.7341226696471,18.5273733171818,18.8489179266565,18.6124995459852,18.6795652982377
"ENSG00000003436",20.2703,19.99249,19.57408,19.92118,20.28739,19.41756,20.00842,20.42707,20.29909,20.19051,19.95546,20.26988,19.82286,19.30601,19.99436,19.57827,19.92563,19.92116,20.5464,20.1679,20.34857,19.74616,19.9908,20.45368
"ENSG00000003756",20.83682,20.91655,20.70751,20.90967,21.103,20.79917,20.94777,20.95679,20.88169,21.11695,20.93223,20.97809,20.95598,20.74744,20.96936,21.05454,20.89972,20.80223,21.18424,20.94131,21.17503,20.96631,20.89341,20.77533
"ENSG00000003989",16.68418,16.73083,16.69658,16.73473,16.72505,16.64148,16.67547,16.61989,16.73358,16.71801,16.80383,16.77321,16.73624,16.78602,16.73871,16.72272,16.66075,16.65726,16.70336,16.69293,16.69844,16.64432,16.72104,16.75469
"ENSG00000004142",22.03036,22.69259,22.02065,22.51248,22.11918,21.79447,22.69115,22.04903,21.9277,22.06483,21.83728,22.56254,22.69513,21.98063,22.73694,21.9217,22.15142,22.15687,22.36319,22.1383,22.11517,21.93252,22.88463,22.05751
"ENSG00000004399",20.88656,19.856,20.16923,19.82184,20.09981,20.77488,19.75125,20.55181,20.20397,20.18766,20.78631,19.83469,19.96414,20.4388,20.07322,20.34985,20.19004,20.44204,20.14049,20.48423,20.18517,20.48977,19.96138,20.63176
"ENSG00000004455",24.6422159093035,25.6902526653421,25.0941665665842,25.3259998451742,24.9920040835247,24.6740076327858,25.550698940067,24.733615486907,24.6492536353452,24.8725628645282,24.6842797567939,25.1781715221213,25.4523997506457,24.5011104623156,25.4564426203532,24.7039153326061,25.0196723282513,24.8895160613135,24.967070357201,25.0593869170273,24.8531659736996,24.5901950740937,25.7715831239761,24.8897064144925
"ENSG00000004468",20.3224832959719,19.8941893262342,21.1590030755568,19.2023255736657,19.744109747827,19.9712982666694,19.8313015132658,20.3156954910703,20.5549497963495,20.4350888918953,20.8889705442348,19.1239238855942,19.9260480457026,20.4406826192143,20.0045455594389,20.5192997643169,19.9457128681196,20.6665716936422,20.871447376605,20.9871406482198,20.1583150630913,20.7773123480816,19.6826656991681,20.6840357921067
"ENSG00000004478",24.149464412973,24.5223366052607,24.2872819864532,24.4974562291912,24.3874480446091,24.170178873235,24.4043502130715,24.3966884047457,24.242991819937,24.2080741771323,23.9239019723759,24.124564635801,24.3700551708599,23.9302856334501,24.6054816904454,24.1920592061246,24.2790280313157,24.0648036470685,24.4321435211055,24.1008559203337,24.4092285788459,24.3547441256837,24.5732941660136,24.2786790478783
"ENSG00000004534",20.81125,20.89526,20.85628,21.0955,21.11933,20.75442,20.8635,20.79071,20.85278,21.19986,20.97663,20.9881,21.04206,20.85603,21.07346,21.0252,20.99007,20.75269,20.97894,20.95532,21.18834,20.99442,20.90148,20.89084
"ENSG00000004660",17.6458543642501,17.5018887774516,17.6205859376342,17.2373194814365,17.5572129415764,17.7624397570271,16.9758382595907,17.2190529165479,17.8164879354226,17.5179159378864,17.8143279792279,17.2729657610705,17.0788742815556,18.0786939082809,16.9706537800398,17.6381568303886,17.3797887851852,17.7500154915128,17.3056595692265,17.8943265545531,17.277476857754,17.6638054080277,17.3793268097977,17.7713064422969
"ENSG00000004700",24.3108,23.46913,24.34523,23.39775,23.87261,24.29233,23.50177,24.38244,24.15693,23.81942,24.29351,23.55427,23.53285,24.01016,23.27538,24.22726,23.73658,24.09797,23.52376,24.32319,23.73045,24.23974,23.49316,24.14091
"ENSG00000004766",21.55042,21.69851,21.42402,21.92848,21.59117,21.55863,21.7895,21.5563,21.53601,21.69675,21.36907,21.59687,21.75191,21.46488,21.87758,21.4342,21.6374,21.40029,21.73246,21.39321,21.70198,21.49539,21.84484,21.42395
"ENSG00000004776",22.8766557139741,23.6098921044272,23.7580131151342,23.7047970558336,25.5299082684892,23.061586229372,24.5012023894114,23.9181121112262,23.2201136590053,24.1218247338168,25.0405958143667,23.9304358781454,24.3017605636071,23.0389574791994,23.6834463676315,23.4548959073631,23.5294034593394,23.7686681791018,25.1027565096173,23.2235727939656,24.0378070413913,24.0345934720002,23.612253603541,23.0942697537571
"ENSG00000004777",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004779",23.53723,24.45704,23.84219,24.03041,23.92657,23.2552,24.4429,23.62802,23.54733,23.61466,23.2222,24.17878,24.30889,23.46041,24.16866,23.64914,24.13926,24.18653,24.22127,23.76969,23.81172,23.39263,24.49107,23.60603
"ENSG00000004846",16.9253399865916,17.5424795456992,17.6792676929512,18.2764885515122,17.1903568602895,16.7705811820769,17.4812577854852,16.7032412975233,17.6355219192401,17.9840936863685,16.9127550434767,17.7086352315968,18.0485715250864,17.1830085288853,18.2729986100364,17.6230492840724,17.055171751531,17.0459534617247,17.1512193009165,16.7476798668036,17.3202134758554,16.6427579870333,17.5317997900879,17.0262393843819
"ENSG00000004848",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004864",23.04848,23.92522,22.8983,23.68017,22.98122,23.33283,23.58732,23.33479,22.89972,23.06838,22.86706,23.49452,23.79318,23.13291,23.75738,23.23229,23.09148,23.66439,23.15932,23.07907,22.89261,23.07518,23.70873,23.02244
"ENSG00000004866",17.57942,17.79873,17.54945,18.12576,17.35534,17.69534,17.672,17.66052,17.47733,17.60918,17.49776,17.63809,17.88315,17.44167,17.67356,17.09883,17.29366,17.87696,17.57707,17.25966,17.53441,17.65288,17.67972,17.5457
"ENSG00000004897",21.7264044096117,21.3607331991808,21.6270738596646,21.4211314267214,21.3949949795669,21.658852420606,21.2852627880835,21.5978508958045,21.4769478916187,21.6013171691983,21.4988950767368,21.3546042030398,21.3225409398442,21.6843935233782,21.5343909877024,21.460189566736,21.4505164888102,21.4873502970886,21.4958263040964,21.74235878007,21.5236792734302,21.5686694558486,21.3831455553703,21.4138660615081
"ENSG00000004939",24.39826,23.67946,24.54427,22.65595,23.89664,24.58006,22.86796,24.38592,23.96666,23.39013,25.0101,22.5572,23.22768,25.75586,23.62407,23.95036,23.97315,24.99079,22.89658,24.79118,22.81703,23.91448,23.77409,24.7136
"ENSG00000004961",21.6918828653964,22.1298217124689,21.7753053264434,22.296957188726,21.9867369350185,21.2535598676694,22.1714534597059,21.5629324434471,21.8653310795943,22.1431407871464,22.0048922493357,22.2121317718322,22.4639224574505,21.6237010213033,22.6438980794983,21.3811654084027,22.0275920783598,21.6948365499527,22.1990078547856,21.9211914829957,22.0942937065352,21.7301241460031,22.2224648147621,21.9429350007467
"ENSG00000004975",24.1649707458467,23.8021943783897,23.8351616015727,23.9972171983864,24.2021377486838,23.9556993849732,23.9113666641677,23.9219467559031,24.2016438982811,24.145404158179,24.2662046624083,24.0274267955245,23.8794461629047,24.0033264679655,23.9350698668084,23.9724882519583,24.0436306259367,24.0019398364836,24.1691810822807,24.2863636313489,24.0957140880691,23.8750753787931,23.8214221687071,24.1549315246319
"ENSG00000005001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005007",23.02016,23.07919,23.03831,23.00321,23.16113,22.87092,23.11137,22.86437,22.96022,22.96843,22.89677,22.94676,23.06769,22.83051,23.10405,22.88613,23.06431,22.78363,23.0616,23.01393,23.04821,22.8283,23.10482,22.82549
"ENSG00000005020",20.84389,20.07818,21.38184,20.49015,20.03808,20.642,20.10336,21.22253,21.32587,20.84307,21.16412,20.71972,19.9169,21.22536,20.58304,21.58434,20.16739,21.15274,20.52754,21.15049,20.95965,21.21498,20.35782,21.58068
"ENSG00000005022",25.30656,26.30517,25.51368,26.31428,25.76074,24.90467,26.35487,25.2752,25.13581,25.55388,25.15381,26.18313,26.23087,25.24741,26.29551,25.26315,26.04101,25.59368,26.24513,25.63249,25.60637,25.25394,26.25347,25.40504
"ENSG00000005059",16.8563674933205,16.0633305481862,17.0311972809905,15.9580567263055,16.2311958714679,16.5734989247627,15.7085169558883,17.4029441887166,16.8949103283997,16.5259185510051,16.913787527694,16.1002434094939,16.2173123162571,17.080740405098,17.3424131046806,17.8460430534892,16.1936676656068,17.0277951609076,16.3188462754716,17.0792495497122,16.5251038949605,17.0510548670664,16.1032687327354,17.2122490004634
"ENSG00000005073",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005100",17.8150043928183,17.7325714611191,17.9981909530905,17.5958807722027,17.6379504618178,17.7705419677044,17.6341137495307,18.3533166972745,18.0071399112989,17.8361761881007,18.2889550913722,18.1262430655288,17.7369376759482,18.0401608403152,17.848164513973,17.9333091494124,17.6922749791336,18.0087878628631,17.877773989656,18.411645612104,17.4662766552119,17.6437127157538,17.6519819225229,18.4691927848708
"ENSG00000005108",22.13541,22.78342,22.12886,22.53624,23.74531,22.5125,22.87664,22.1728,22.33442,22.53056,22.5832,22.90668,22.78937,22.17761,22.70792,22.72347,23.68007,22.05989,23.78053,22.17319,22.70677,22.81477,23.04119,22.21326
"ENSG00000005175",21.4269,21.30705,21.47845,21.38215,21.39354,21.14116,21.28431,21.44103,21.3928,21.44864,21.22402,21.33159,21.44525,21.18693,21.41937,21.29935,21.45403,21.26283,21.47433,21.47621,21.43188,21.38795,21.34227,21.16907
"ENSG00000005187",22.789404988091,24.0242705624283,22.5553525958688,23.2047285741723,23.4503575548874,22.100065213241,24.0616292938614,22.5998775061904,22.7383430180266,22.9991354514966,22.9481994193139,23.7675216799181,23.9321960026172,22.9892120219143,23.1278397512548,22.633891230502,23.7509496641512,23.078372879453,23.3109115388252,22.7383392728457,22.9968572683212,22.5122835044506,23.7652861376329,22.8254681063067
"ENSG00000005243",21.7173916630193,20.9396455298025,21.7286612155141,21.0147033094938,21.3764286717813,21.0220084519532,21.187829323308,21.3447802633668,21.5294776443138,21.5428361956757,22.0464594724118,21.1585237605903,21.3191167399676,21.8406795275922,21.4002573747142,21.4843198900958,20.8881250589378,21.9161472298661,21.2884783243405,21.2773413334591,21.4621091023396,21.7608547814462,21.1349308349681,21.7996273919268
"ENSG00000005249",21.74843,22.32162,21.95237,22.61963,23.71293,21.70648,23.02535,21.75018,22.18252,22.77134,22.10721,23.41125,22.55327,21.85229,22.47464,21.99261,23.39943,21.65492,23.73809,21.93144,23.37367,21.81138,22.40828,21.83926
"ENSG00000005379",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005381",21.8306751025811,21.6526127175914,21.8524721177358,21.6381636394568,21.5929704748248,22.3584333431681,21.0412902703114,22.051759178127,22.6483531808152,22.0190593453624,21.6651609868567,21.8577186187851,21.6074074575268,22.2509660553709,21.4866938592082,21.8771608714438,21.1343442461767,21.7130950183282,21.1339832702206,22.7677719736794,22.4684157452141,21.9585714733871,21.5693806151473,23.1542057734852
"ENSG00000005421",22.99183,23.03173,22.8947,22.44997,23.50013,23.02714,22.54503,22.97857,23.49732,23.28598,24.37257,23.98085,22.91175,23.8244,22.42765,23.27999,23.87152,23.08258,23.17044,23.35792,22.99243,22.77527,23.14473,24.25866
"ENSG00000005436",21.1605393072267,21.0219045126287,21.1450093006355,20.7812838028322,21.1425260357864,21.2294260236488,20.8554478261006,21.0042654368373,21.0875645769529,21.0703265910958,21.0186827842122,21.3358847411728,20.8529849320763,21.3483648402898,20.9670785045129,21.0630476767614,21.3641775211807,21.3308363557322,20.7898298672888,21.0904006877962,20.7580643495533,21.1647037671725,20.9551231057568,21.2373453459932
"ENSG00000005469",21.0376954834788,21.8629360173912,21.0377583245925,21.8693502676713,21.5639652618046,20.6774866073593,21.9091177805456,21.1944017151647,21.0928001021912,21.2322204223066,21.1946663384564,21.7485621954735,22.1310927146443,20.9754401048378,21.6703282927581,21.1006842120137,21.3112565405779,21.2891907354402,21.4945219064948,20.8599479470687,21.3684142986352,21.1257495627267,21.8461606534826,21.2583262935602
"ENSG00000005486",19.62883,19.86718,19.39296,20.60349,20.0442,18.70243,20.15342,19.98451,19.83514,20.31536,18.46895,20.25593,20.6214,18.73786,19.90244,19.3817,19.73967,18.95268,20.14361,19.26387,20.04201,19.36645,19.5746,19.32236
"ENSG00000005810",22.92489,22.85018,23.09095,22.89598,23.19524,22.89368,22.91951,23.01414,22.88785,23.03644,23.13014,22.91319,22.94521,22.87784,22.93376,22.93533,22.94039,22.87113,23.07863,23.02929,23.09,23.02759,22.88422,23.04601
"ENSG00000005812",17.9015265464614,17.8727874115612,17.9038210531784,17.8728213164798,18.5001429770074,18.5954556759802,17.8428530989688,17.8773621275474,17.8645053667838,17.9063434658467,17.8171566158787,17.9071233026993,17.749307172551,17.8504840018322,17.8108379633009,17.9270592507555,17.7429665748852,17.7530299379565,17.6498394713935,17.8623517852739,17.8787947734877,17.918043112934,17.7474976631923,17.6437364907919
"ENSG00000005844",20.9889921853219,20.1732820315533,21.7626237570045,20.2457533057904,20.1160332942601,21.0862464981873,20.1724864364564,21.4954855529433,21.2579455485805,21.0074092240572,21.3937035545338,20.9500681421852,20.4009967335331,21.4167770747314,20.5726714098223,21.4359821092823,20.3682889524888,21.3760137217822,20.3534791633567,21.1868378834341,21.1940102502577,21.603139393102,20.3334315522237,21.7783389466883
"ENSG00000005882",22.66285,23.46229,22.57469,22.88288,22.76419,23.02697,23.45432,22.79049,22.49562,22.55378,22.60732,23.10886,23.31137,22.66771,23.18444,22.54935,22.8215,23.06285,22.81813,22.51128,22.64646,22.40602,23.75517,22.62055
"ENSG00000005889",19.01524,18.85185,19.50053,19.13922,19.1183,19.33333,19.04412,19.23194,19.03104,19.15536,19.0719,18.62528,18.96336,19.17923,18.95695,19.33666,19.16361,19.18651,18.62528,18.87785,19.23798,19.44031,18.89543,19.24451
"ENSG00000005981",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006025",21.79148,21.24847,21.34233,21.60461,21.46293,21.2742,21.28734,21.27855,21.30477,21.41411,21.67694,21.69067,21.62935,21.44242,21.50738,21.45859,21.35073,21.42978,21.46783,21.4546,21.42178,21.41765,21.41136,21.6449
"ENSG00000006047",17.19082,16.64588,17.02139,16.61318,16.77489,17.17284,16.90294,17.51208,17.39551,17.18733,17.07611,16.65178,16.66338,17.2458,16.54314,18.01867,16.32884,17.63412,17.38038,18.19595,16.61121,17.14555,16.92609,17.23754
"ENSG00000006118",17.02446,16.93089,16.73711,16.77637,16.70683,16.56687,16.92557,16.88124,17.47514,16.86919,16.9203,16.76459,17.01373,17.29899,16.38421,16.89037,16.80106,16.58268,16.90726,16.82699,16.97619,17.01929,16.75447,17.15882
"ENSG00000006125",26.7006902920648,26.8484135985359,26.5646650751046,26.9017651844593,26.6519189599474,26.5366425570343,26.8655713534897,26.4837603964253,26.4006541934699,26.7755360541466,26.5217049043435,26.7506879228586,26.9165964880537,26.4759742091626,27.0082502128104,26.4725062182973,26.7417841202962,26.4478921150779,26.8178834094132,26.5409260311362,26.7996886543457,26.4882214684143,26.9154509978513,26.4427547404365
"ENSG00000006128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006282",21.61099,21.90753,21.81217,22.24121,21.74752,21.62422,21.71282,21.52198,21.68501,21.61492,21.37824,22.11065,22.09846,21.47402,21.89035,21.38662,21.51825,21.50122,22.22438,21.75694,21.68568,21.71262,22.27222,21.69898
"ENSG00000006377",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006432",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006451",22.51769,22.45032,22.12948,22.59834,22.279,22.42282,22.39144,22.60672,22.35953,22.19652,22.08852,22.26018,22.49711,22.51079,22.46795,22.51254,22.28147,22.29957,22.41374,22.13714,22.28555,22.33452,22.32678,22.81437
"ENSG00000006534",20.225240054643,20.6434449724951,20.6711850627952,19.7778183774827,19.6410402550567,20.5469487911754,20.2490399104771,20.3548574733788,20.5013762339497,20.0693851270745,20.3234816100014,20.0861260459864,20.5507551398089,20.6646580679328,20.5750678209618,20.309980228581,19.8398275469876,20.6847077279186,20.1541526410663,20.1939352439006,20.1864517382558,20.3057096097427,20.3174195079538,20.8721412500002
"ENSG00000006555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006576",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006607",20.1587585358484,20.9823938957917,20.1138371260209,20.9330327067563,20.6045350205122,20.1043648361865,20.7413210611839,20.2738698325761,20.2556638620496,20.403954470469,20.3093206545787,20.9308728870969,20.9560781285432,20.0740307769749,20.9778553739563,20.1743415772594,20.5937522500663,20.0901546809628,20.6843353004989,20.3110259959058,20.5357634380145,19.95038857115,21.0842817032623,20.2220107997346
"ENSG00000006611",21.28802,22.69957,21.58393,22.11027,21.33409,21.2987,22.54216,21.33879,21.02656,21.53774,21.19681,22.3493,22.47084,21.43495,22.36437,21.52273,21.65632,21.17593,21.6611,21.82077,21.72244,20.83279,22.92583,21.22713
"ENSG00000006625",23.4018170588496,23.7128205595393,23.3971116349023,23.9858425828858,23.5795665769659,23.1816513897688,24.0701898182723,23.4940721340561,23.2798402837976,23.4346632615182,23.3333760365097,23.6352701745907,23.9548088888672,23.3550291334413,23.8413691161879,23.2742821918566,23.8047250397505,23.3920170976747,23.8196411353313,23.4869407740833,23.5119305400812,23.3673713422198,24.1130737006963,23.2254496490481
"ENSG00000006634",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
